date,world,name,has_estate
"document.getElementById('datetime-0.762744178763526').innerHTML = ldst_strftime(1517846212, 'YMD');",Hyperion,YVEZBa,No Estate or Plot
"document.getElementById('datetime-0.773387333057993').innerHTML = ldst_strftime(1517846053, 'YMD');",Diabolos,dzWFLQp,No Estate or Plot
"document.getElementById('datetime-0.682177120545752').innerHTML = ldst_strftime(1517841363, 'YMD');",Malboro,TCODEzZfk,No Estate or Plot
"document.getElementById('datetime-0.936870907627739').innerHTML = ldst_strftime(1517839740, 'YMD');",Leviathan,ojDbBMi,No Estate or Plot
"document.getElementById('datetime-0.372708363075812').innerHTML = ldst_strftime(1517821091, 'YMD');",Ifrit,xerMoiC,No Estate or Plot
"document.getElementById('datetime-0.0189588247453329').innerHTML = ldst_strftime(1517815031, 'YMD');",Ultima,Amorphous Zone,Plot Only
"document.getElementById('datetime-0.332812259314128').innerHTML = ldst_strftime(1517811435, 'YMD');",Ifrit,FIKA,No Estate or Plot
"document.getElementById('datetime-0.00542725458501536').innerHTML = ldst_strftime(1517809218, 'YMD');",Zeromus,Soul crazy,No Estate or Plot
"document.getElementById('datetime-0.894260059638935').innerHTML = ldst_strftime(1517801911, 'YMD');",Yojimbo,Venus,No Estate or Plot
"document.getElementById('datetime-0.606429042497304').innerHTML = ldst_strftime(1517801534, 'YMD');",Yojimbo,WusunAk,No Estate or Plot
"document.getElementById('datetime-0.0478246190458442').innerHTML = ldst_strftime(1517794759, 'YMD');",Alexander,stqjUpc,No Estate or Plot
"document.getElementById('datetime-0.108090476556882').innerHTML = ldst_strftime(1517788326, 'YMD');",Zeromus,TjClZBjeqOSBVa,No Estate or Plot
"document.getElementById('datetime-0.724514407761827').innerHTML = ldst_strftime(1517784961, 'YMD');",Ridill,iqHHaOb,No Estate or Plot
"document.getElementById('datetime-0.196628661476545').innerHTML = ldst_strftime(1517783265, 'YMD');",Ultima,Xrenebt,No Estate or Plot
"document.getElementById('datetime-0.814416964600721').innerHTML = ldst_strftime(1517859022, 'YMD');",Gilgamesh,Crushing Crush,No Estate or Plot
"document.getElementById('datetime-0.169639847230318').innerHTML = ldst_strftime(1517859469, 'YMD');",Louisoix,Heartstone Failure,No Estate or Plot
"document.getElementById('datetime-0.40702686807785').innerHTML = ldst_strftime(1517859105, 'YMD');",Phoenix,Kaamelot,No Estate or Plot
"document.getElementById('datetime-0.220414983974489').innerHTML = ldst_strftime(1517858734, 'YMD');",Louisoix,Certain Doom,No Estate or Plot
"document.getElementById('datetime-0.783843268650635').innerHTML = ldst_strftime(1517855151, 'YMD');",Zodiark,darkangel,No Estate or Plot
"document.getElementById('datetime-0.0129832654474349').innerHTML = ldst_strftime(1517854265, 'YMD');",Shiva,Ex causa Primae,No Estate or Plot
"document.getElementById('datetime-0.78597672836564').innerHTML = ldst_strftime(1517851225, 'YMD');",Omega,FFXIV,No Estate or Plot
"document.getElementById('datetime-0.737610643993516').innerHTML = ldst_strftime(1517850975, 'YMD');",Shiva,Hamsters Lair,No Estate or Plot
"document.getElementById('datetime-0.453008958367228').innerHTML = ldst_strftime(1517850543, 'YMD');",Odin,Chubby Chocobo,No Estate or Plot
"document.getElementById('datetime-0.296685341401119').innerHTML = ldst_strftime(1517831061, 'YMD');",Titan,x666x,No Estate or Plot
"document.getElementById('datetime-0.0115582002175074').innerHTML = ldst_strftime(1517830669, 'YMD');",Belias,Teemo on duty,No Estate or Plot
"document.getElementById('datetime-0.937898082372254').innerHTML = ldst_strftime(1517830215, 'YMD');",Masamune,SJadASE,No Estate or Plot
"document.getElementById('datetime-0.954925525044509').innerHTML = ldst_strftime(1517829549, 'YMD');",Anima,clrwyQN,No Estate or Plot
"document.getElementById('datetime-0.888060508249328').innerHTML = ldst_strftime(1517829019, 'YMD');",Titan,LaPommeDeTerre,No Estate or Plot
"document.getElementById('datetime-0.988997727255381').innerHTML = ldst_strftime(1517828843, 'YMD');",Anima,Ccoxjtp,No Estate or Plot
"document.getElementById('datetime-0.875796716871999').innerHTML = ldst_strftime(1517827213, 'YMD');",Asura,ORBITAL,No Estate or Plot
"document.getElementById('datetime-0.751516063022954').innerHTML = ldst_strftime(1517826355, 'YMD');",Masamune,The Gears,No Estate or Plot
"document.getElementById('datetime-0.205913869076202').innerHTML = ldst_strftime(1517826352, 'YMD');",Asura,UrmUuuJ,No Estate or Plot
"document.getElementById('datetime-0.816912792292438').innerHTML = ldst_strftime(1517833210, 'YMD');",Carbuncle,cat paw,No Estate or Plot
"document.getElementById('datetime-0.222006962478297').innerHTML = ldst_strftime(1517832030, 'YMD');",Typhon,HAPPY SWING,No Estate or Plot
"document.getElementById('datetime-0.795271539541151').innerHTML = ldst_strftime(1517831981, 'YMD');",Kujata,E G O I S T,No Estate or Plot
"document.getElementById('datetime-0.454786946199448').innerHTML = ldst_strftime(1517831728, 'YMD');",Aegis,NkIymXreHSpDklfw,No Estate or Plot
"document.getElementById('datetime-0.124930619213455').innerHTML = ldst_strftime(1517829195, 'YMD');",Garuda,pZfnxiB,No Estate or Plot
"document.getElementById('datetime-0.758574850046905').innerHTML = ldst_strftime(1517827039, 'YMD');",Tonberry,vhZTdWF,No Estate or Plot
"document.getElementById('datetime-0.785396783712617').innerHTML = ldst_strftime(1517826752, 'YMD');",Carbuncle,GreLTDS,No Estate or Plot
"document.getElementById('datetime-0.034468401813271').innerHTML = ldst_strftime(1517826580, 'YMD');",Unicorn,wBVSMJC,No Estate or Plot
"document.getElementById('datetime-0.894177936464668').innerHTML = ldst_strftime(1517826495, 'YMD');",Atomos,Dreams of Ocean,No Estate or Plot
"document.getElementById('datetime-0.657946310326359').innerHTML = ldst_strftime(1517825804, 'YMD');",Typhon,eLkhHXojCPVsK,No Estate or Plot
"document.getElementById('datetime-0.423812042008851').innerHTML = ldst_strftime(1517825346, 'YMD');",Tonberry,xyQPgGFy,No Estate or Plot
"document.getElementById('datetime-0.466022749992788').innerHTML = ldst_strftime(1517836383, 'YMD');",Hyperion,dWClnpX,No Estate or Plot
"document.getElementById('datetime-0.20427387652752').innerHTML = ldst_strftime(1517834819, 'YMD');",Lamia,VzDUXts,No Estate or Plot
"document.getElementById('datetime-0.394528432573402').innerHTML = ldst_strftime(1517833504, 'YMD');",Hyperion,JxRS,No Estate or Plot
"document.getElementById('datetime-0.862949499305461').innerHTML = ldst_strftime(1517831715, 'YMD');",Ultros,muCWGhM,No Estate or Plot
"document.getElementById('datetime-0.210467110753356').innerHTML = ldst_strftime(1517831006, 'YMD');",Malboro,WxgjHusqzlFw,No Estate or Plot
"document.getElementById('datetime-0.334474661843242').innerHTML = ldst_strftime(1517829108, 'YMD');",Brynhildr,afbIIOE,No Estate or Plot
"document.getElementById('datetime-0.0484057106121654').innerHTML = ldst_strftime(1517827372, 'YMD');",Ultros,SCNqYKF,No Estate or Plot
"document.getElementById('datetime-0.119856920634593').innerHTML = ldst_strftime(1517827234, 'YMD');",Brynhildr,NbWARFV,No Estate or Plot
"document.getElementById('datetime-0.459404526158952').innerHTML = ldst_strftime(1517782440, 'YMD');",Ifrit,VwcQNKa,No Estate or Plot
"document.getElementById('datetime-0.132890497128216').innerHTML = ldst_strftime(1517779415, 'YMD');",Durandal,xfUwqwq,No Estate or Plot
"document.getElementById('datetime-0.570322211589268').innerHTML = ldst_strftime(1517774255, 'YMD');",Fenrir,QOpCJPU,No Estate or Plot
"document.getElementById('datetime-0.954333464388021').innerHTML = ldst_strftime(1517756529, 'YMD');",Zeromus,ADVENT OF GODDESS,No Estate or Plot
"document.getElementById('datetime-0.321702533812431').innerHTML = ldst_strftime(1517745594, 'YMD');",Valefor,Honey Please,No Estate or Plot
"document.getElementById('datetime-0.935887773369288').innerHTML = ldst_strftime(1517744987, 'YMD');",Alexander,Limit 3 Assembly,No Estate or Plot
"document.getElementById('datetime-0.601664658843699').innerHTML = ldst_strftime(1517738548, 'YMD');",Fenrir,Moving,No Estate or Plot
"document.getElementById('datetime-0.998457869186971').innerHTML = ldst_strftime(1517738474, 'YMD');",Ultima,Nemumi,No Estate or Plot
"document.getElementById('datetime-0.781961733118372').innerHTML = ldst_strftime(1517846681, 'YMD');",Gilgamesh,Wealth,No Estate or Plot
"document.getElementById('datetime-0.350550236944489').innerHTML = ldst_strftime(1517846575, 'YMD');",Cactuar,Duv,No Estate or Plot
"document.getElementById('datetime-0.636875249482443').innerHTML = ldst_strftime(1517841929, 'YMD');",Mateus,Steelwind Ventures,No Estate or Plot
"document.getElementById('datetime-0.81521558748771').innerHTML = ldst_strftime(1517839217, 'YMD');",Mateus,PNpMOYB,No Estate or Plot
"document.getElementById('datetime-0.143322137525423').innerHTML = ldst_strftime(1517836162, 'YMD');",Cactuar,lUWR,No Estate or Plot
"document.getElementById('datetime-0.882612262355611').innerHTML = ldst_strftime(1517835601, 'YMD');",Gilgamesh,iQnbzChxIgTmHpBu,No Estate or Plot
"document.getElementById('datetime-0.26272659022716').innerHTML = ldst_strftime(1517833276, 'YMD');",Cactuar,Maiyintuanhuo,No Estate or Plot
"document.getElementById('datetime-0.0188774789173145').innerHTML = ldst_strftime(1517831318, 'YMD');",Zalera,MVVjxbv,No Estate or Plot
"document.getElementById('datetime-0.0952784369078969').innerHTML = ldst_strftime(1517829866, 'YMD');",Mateus,evXHKSsdqaGFHMscN,No Estate or Plot
"document.getElementById('datetime-0.994568076851014').innerHTML = ldst_strftime(1517829770, 'YMD');",Gilgamesh,Donkey Punch,No Estate or Plot
"document.getElementById('datetime-0.769904103847953').innerHTML = ldst_strftime(1517850198, 'YMD');",Cerberus,Arkwright Angels,No Estate or Plot
"document.getElementById('datetime-0.830120469361759').innerHTML = ldst_strftime(1517850065, 'YMD');",Moogle,Defenders Of Gehenna,No Estate or Plot
"document.getElementById('datetime-0.491700684298547').innerHTML = ldst_strftime(1517847955, 'YMD');",Omega,Schattenwacht,No Estate or Plot
"document.getElementById('datetime-0.511001039829218').innerHTML = ldst_strftime(1517842541, 'YMD');",Shiva,WeRURkP,No Estate or Plot
"document.getElementById('datetime-0.780809811154416').innerHTML = ldst_strftime(1517841326, 'YMD');",Phoenix,HhJlPJU,No Estate or Plot
"document.getElementById('datetime-0.709518496111869').innerHTML = ldst_strftime(1517840489, 'YMD');",Ragnarok,YGbYmLt,No Estate or Plot
"document.getElementById('datetime-0.795115235138265').innerHTML = ldst_strftime(1517840219, 'YMD');",Omega,FzRlJXc,No Estate or Plot
"document.getElementById('datetime-0.954222238530285').innerHTML = ldst_strftime(1517839890, 'YMD');",Cerberus,DtoTFII,No Estate or Plot
"document.getElementById('datetime-0.00579114025066829').innerHTML = ldst_strftime(1517839571, 'YMD');",Phoenix,Dumme Kinder,No Estate or Plot
"document.getElementById('datetime-0.990472274177961').innerHTML = ldst_strftime(1517839476, 'YMD');",Louisoix,Nightrix,No Estate or Plot
"document.getElementById('datetime-0.849761696310747').innerHTML = ldst_strftime(1517836315, 'YMD');",Lich,ThjwnTq,No Estate or Plot
"document.getElementById('datetime-0.934148592743071').innerHTML = ldst_strftime(1517825161, 'YMD');",Pandaemonium,NHdZvnb,No Estate or Plot
"document.getElementById('datetime-0.217299967323708').innerHTML = ldst_strftime(1517824635, 'YMD');",Asura,PvkjvAe,No Estate or Plot
"document.getElementById('datetime-0.234535144318279').innerHTML = ldst_strftime(1517824408, 'YMD');",Ixion,OPQZBvW,No Estate or Plot
"document.getElementById('datetime-0.145140133943375').innerHTML = ldst_strftime(1517824067, 'YMD');",Hades,XOtBbal,No Estate or Plot
"document.getElementById('datetime-0.882713585304472').innerHTML = ldst_strftime(1517823942, 'YMD');",Belias,ovtkQpG,No Estate or Plot
"document.getElementById('datetime-0.682852323277952').innerHTML = ldst_strftime(1517823229, 'YMD');",Masamune,Pulcino,Estate Built
"document.getElementById('datetime-0.95379280854123').innerHTML = ldst_strftime(1517821715, 'YMD');",Hades,WlciKvU,No Estate or Plot
"document.getElementById('datetime-0.0927011108897524').innerHTML = ldst_strftime(1517820512, 'YMD');",Ixion,okPGDKV,No Estate or Plot
"document.getElementById('datetime-0.12075480721461').innerHTML = ldst_strftime(1517823981, 'YMD');",Garuda,ZGsrqgC,No Estate or Plot
"document.getElementById('datetime-0.432240153761182').innerHTML = ldst_strftime(1517823827, 'YMD');",Ramuh,mSZLnEV,No Estate or Plot
"document.getElementById('datetime-0.157503854084588').innerHTML = ldst_strftime(1517823551, 'YMD');",Kujata,eMYqjpq,No Estate or Plot
"document.getElementById('datetime-0.300077259376668').innerHTML = ldst_strftime(1517821438, 'YMD');",Aegis,khkzmOmDBYaojXiUvH,No Estate or Plot
"document.getElementById('datetime-0.859361516650395').innerHTML = ldst_strftime(1517820514, 'YMD');",Carbuncle,JpVWcqr,No Estate or Plot
"document.getElementById('datetime-0.307109995279287').innerHTML = ldst_strftime(1517815762, 'YMD');",Ramuh,BlauRosenRitter,No Estate or Plot
"document.getElementById('datetime-0.917546859452322').innerHTML = ldst_strftime(1517814975, 'YMD');",Aegis,uqa,No Estate or Plot
"document.getElementById('datetime-0.588756334093432').innerHTML = ldst_strftime(1517827216, 'YMD');",Exodus,TfsoajS,No Estate or Plot
"document.getElementById('datetime-0.691041391718084').innerHTML = ldst_strftime(1517826898, 'YMD');",Behemoth,dtUWXhb,No Estate or Plot
"document.getElementById('datetime-0.841447258492941').innerHTML = ldst_strftime(1517825586, 'YMD');",Excalibur,yqXGDUP,No Estate or Plot
"document.getElementById('datetime-0.122577862008018').innerHTML = ldst_strftime(1517823166, 'YMD');",Diabolos,uAKuJRbsEjFC,No Estate or Plot
"document.getElementById('datetime-0.88347006832511').innerHTML = ldst_strftime(1517816252, 'YMD');",Leviathan,Harpy's Nest,No Estate or Plot
"document.getElementById('datetime-0.36307356035763').innerHTML = ldst_strftime(1517815334, 'YMD');",Ultros,KDM Ext.ension,No Estate or Plot
"document.getElementById('datetime-0.220753169254628').innerHTML = ldst_strftime(1517810628, 'YMD');",Ultros,MHSpmhgyCrzyQaxxUX,No Estate or Plot
"document.getElementById('datetime-0.128690833943953').innerHTML = ldst_strftime(1517808578, 'YMD');",Diabolos,Shinra Corporation,No Estate or Plot
